codigo_producto,caja_grosor_mm,caja_exterior_largo,caja_exterior_ancho,caja_exterior_alto
BR0233,2.7,400.0,301.4,296.4
BR0234,2.7,398.4,260.4,199.4
BR0235,2.7,398.4,260.4,296.4
BR0236,2.5,398.0,260.0,265.0
BR0237,2.7,400.0,297.4,250.4
BR0238,4.1,396.2,296.2,281.2
BR0239,2.5,398.0,260.0,265.0
BR0240,2.5,398.0,260.0,265.0
BR0241,4.1,396.2,296.2,281.2
BR0242,4.1,396.2,296.2,281.2
BR0243,4.1,394.2,294.2,296.2
BR0244,4.1,396.2,296.2,281.2
BR0245,2.7,398.4,260.4,250.4
BR0246,2.7,398.4,260.4,250.4
BR0247,2.5,400.0,269.0,335.0
BR0248,2.5,400.0,269.0,335.0
BR0249,4.1,394.2,294.2,296.2
BR0250,4.1,394.2,294.2,296.2
BR0251,2.5,400.0,269.0,335.0
BR0252,2.5,400.0,269.0,335.0
BR0253,2.5,400.0,269.0,335.0
BR0254,2.5,400.0,269.0,335.0
BR0255,4.1,387.2,276.2,371.2
BR0256,4.1,387.2,276.2,371.2
BR0257,4.1,394.2,294.2,296.2
BR0258,4.1,394.2,294.2,296.2
BR0259,2.7,398.4,260.4,250.4
BR0260,2.7,398.4,260.4,219.4
BR0261,2.7,398.4,260.4,199.4
BR0262,2.7,398.4,260.4,199.4
BR0263,2.7,398.4,260.4,199.4
BR0264,2.7,398.4,260.4,219.4
BR0265,2.7,398.4,260.4,199.4
BR0266,2.7,400.0,301.4,255.4
BR0267,2.5,400.0,269.0,335.0
BR0268,2.7,400.0,297.4,199.4
BR0269,2.7,400.0,297.4,199.4
BR0270,2.7,400.0,297.4,199.4
BR0271,2.7,400.0,299.4,219.4
BR0272,2.7,400.0,297.4,250.4
BR0273,2.7,400.0,299.4,219.4
BR0274,4.1,396.2,296.2,281.2
BR0275,4.1,396.2,296.2,177.2
BR0276,4.1,396.2,296.2,177.2
BR0277,4.1,394.2,294.2,296.2
BR0278,4.1,394.2,294.2,296.2
BR0279,4.1,396.2,296.2,281.2
BR0280,4.1,396.2,296.2,281.2
BR0281,2.7,400.0,297.4,250.4
BR0282,2.7,400.0,301.4,260.4
BR0283,2.7,400.0,297.4,250.4
BR0284,2.7,400.0,299.4,219.4
BR0285,4.1,396.2,296.2,177.2
BR0286,2.7,400.0,297.4,199.4
BR0287,4.1,394.2,294.2,296.2
BR0288,2.7,400.0,250.4,219.4
BR0289,2.7,398.4,260.4,219.4
BR0290,2.7,400.0,301.4,296.4
BR0291,2.7,400.0,301.4,199.4
BR0292,2.7,400.0,301.4,291.4
BR0293,2.7,398.4,299.4,229.4
BR0294,2.7,400.0,301.4,178.4
BR0295,2.7,400.0,301.4,250.4
BR0296,2.7,400.0,301.4,250.4
BR0297,4.1,396.2,296.2,157.2
BR0298,4.1,396.2,296.2,157.2
BR0299,2.7,398.4,299.4,229.4
BR0300,2.7,398.4,260.4,219.4
BR0301,2.5,398.0,260.0,265.0
BR0302,2.7,398.4,260.4,219.4
BR0303,2.7,398.4,260.4,153.4
BR0304,2.7,398.4,260.4,178.4
BR0305,4.1,396.2,296.2,281.2
BR0306,4.1,396.2,296.2,281.2
BR0307,4.1,396.2,296.2,281.2
BR0308,2.7,400.0,299.4,219.4
BR0309,4.1,396.2,296.2,177.2
BR0310,2.7,398.4,260.4,296.4
BR0310XL,2.7,398.4,302.4,262.4
BR0311,2.7,400.0,301.4,224.4
BR0312,2.7,400.0,301.4,224.4
BR0313,2.7,400.0,301.4,224.4
BR0314,2.7,400.0,297.4,199.4
BR0314XL,2.7,400.0,297.4,199.4
BR0315,4.1,394.2,294.2,179.2
BR0316,4.1,396.2,296.2,177.2
BR0317,4.1,396.2,296.2,177.2
BR0318,2.7,400.0,297.4,199.4
BR0319,4.1,396.2,296.2,177.2
BR0320,2.7,400.0,299.4,219.4
BR0321,2.7,398.4,260.4,250.4
BR0322,2.7,400.0,297.4,250.4
BR0323,2.7,400.0,301.4,250.4
BR0324,2.7,398.4,260.4,199.4
BR0325,2.7,398.4,260.4,296.4
BR0326,2.5,398.0,260.0,265.0
BR0327,2.7,398.4,260.4,296.4
BR0328,2.7,398.4,260.4,219.4
BR0329,2.7,398.4,260.4,250.4
BR0330,2.7,398.4,260.4,219.4
BR0331,2.7,398.4,260.4,250.4
BR0332,2.5,398.0,260.0,265.0
BR0333,2.7,400.0,299.4,219.4
BR0334,2.7,398.4,260.4,250.4
BR0335,2.7,398.4,260.4,250.4
BR0336,2.7,400.0,297.4,199.4
BR0337,2.7,398.4,260.4,219.4
BR0338,4.1,396.2,296.2,197.2
BR0339,2.5,398.0,260.0,255.0
BR0340,2.7,398.4,260.4,250.4
BR0340XL,2.7,398.4,260.4,250.4
BR0341,2.7,398.4,260.4,219.4
BR0342,2.7,398.4,260.4,250.4
BR0343,2.5,400.0,269.0,335.0
BR0344,2.7,398.4,260.4,296.4
BR0345,4.5,400.0,301.0,325.0
BR0346,2.7,400.0,297.4,250.4
BR0347,2.7,400.0,297.4,250.4
BR0348,4.1,394.2,294.2,326.2
BR0349,2.7,400.0,301.4,250.4
BR0350,2.7,400.0,299.4,219.4
BR0351,2.7,400.0,299.4,219.4
BR0352,2.7,398.4,260.4,296.4
BR0353,2.7,398.4,260.4,250.4
BR0354,2.7,398.4,260.4,296.4
BR0355,2.7,398.4,260.4,219.4
BR0356,2.7,398.4,260.4,296.4
BR0357,2.7,398.4,260.4,250.4
BR0358,2.7,400.0,301.4,250.4
BR0359,2.7,398.4,260.4,250.4
BR0360,2.7,400.0,299.4,219.4
BR0361,4.1,396.2,296.2,177.2
BR0362,2.7,400.0,301.4,291.4
BR0363,4.1,396.2,296.2,281.2
BR0364,2.7,400.0,301.4,224.4
BR0365,2.7,400.0,297.4,199.4
BR0366,2.7,400.0,299.4,219.4
BR0367,2.7,400.0,299.4,219.4
BR0368,2.7,400.0,297.4,199.4
BR0369,2.7,400.0,301.4,291.4
BR0370,2.7,400.0,301.4,250.4
BR0371,2.7,400.0,301.4,250.4
BR0372,2.7,400.0,301.4,255.4
BR0373,2.7,400.0,301.4,291.4
BR0374,2.7,400.0,301.4,250.4
BR0375,4.1,396.2,296.2,281.2
BR0376,2.7,400.0,299.4,255.4
BR0377,2.7,400.0,299.4,255.4
BR0378,2.5,398.0,260.0,255.0
BR0379,2.5,398.0,260.0,255.0
BR0380,2.5,398.0,260.0,255.0
BR0381,2.7,398.4,260.4,250.4
BR0382,2.7,398.4,260.4,250.4
BR0383,2.7,398.4,260.4,250.4
BR0384,2.7,398.4,260.4,219.4
BR0385,2.7,398.4,260.4,219.4
BR0386,2.7,400.0,297.4,250.4
BR0387,2.7,400.0,299.4,219.4
BR0388,2.7,398.4,260.4,250.4
BR0389,2.7,398.4,260.4,224.4
BR0390,2.5,398.0,260.0,255.0
BR0391,2.7,398.4,260.4,199.4
BR0392,2.7,400.0,301.4,178.4
BR0393,2.7,398.4,260.4,199.4
BR0394,2.7,398.4,260.4,199.4
BR0395,2.7,398.4,260.4,199.4
BR0396,2.7,400.0,299.4,219.4
BR0397,2.7,400.0,301.4,224.4
BR0398,2.7,400.0,299.4,219.4
BR0399,4.1,394.2,294.2,326.2
BR0400,4.5,400.0,301.0,325.0
BR0401,2.7,400.0,301.4,199.4
BR0402,4.1,396.2,296.2,197.2
BR0403,2.5,400.0,269.0,335.0
BR0404,2.7,398.4,260.4,250.4
BR0405,2.7,400.0,297.4,199.4
BR0406,4.1,394.2,294.2,326.2
BR0407,4.1,396.2,296.2,281.2
BR0408,4.1,394.2,294.2,326.2
BR0409,2.7,398.4,260.4,250.4
BR0410,4.1,394.2,294.2,296.2
BR0411,2.7,400.0,299.4,219.4
BR0412,2.7,400.0,297.4,250.4
BR0413,2.7,400.0,297.4,250.4
BR0414,2.7,400.0,297.4,199.4
BR0415,2.5,398.0,260.0,265.0
BR0416,2.7,400.0,297.4,199.4
BR0417,2.7,398.4,260.4,250.4
BR0418,2.7,398.4,260.4,250.4
BR0419,2.7,400.0,301.4,178.4
BR0420,2.7,398.4,260.4,219.4
BR0421,2.7,398.4,260.4,250.4
